sample_id,sample_type,collected_at,volume_ml
10697,3,2023-06-09 20:34:00,185
10698,3,2023-06-09 20:43:00,174
10699,3,2023-06-09 20:53:00,169
10700,2,2023-06-09 21:04:00,176
10701,1,2023-06-09 21:13:00,181
10702,1,2023-06-09 21:22:00,159
10703,1,2023-06-09 21:34:00,192
10704,2,2023-06-09 21:44:00,192
10705,2,2023-06-09 21:52:00,150
10706,3,2023-06-09 22:02:00,157
10707,2,2023-06-09 22:12:00,185
10708,2,2023-06-09 22:23:00,200
10709,1,2023-06-09 22:31:00,168
10710,1,2023-06-09 22:39:00,168
10711,1,2023-06-09 22:50:00,178
10712,2,2023-06-09 22:59:00,183
10713,1,2023-06-09 23:07:00,189
10714,1,2023-06-09 23:19:00,176
10715,1,2023-06-09 23:27:00,171
10716,2,2023-06-09 23:38:00,188
10717,2,2023-06-09 23:50:00,152
